prior(0,0919062832800852).
trusts(795,606).
trusts(811,20).
trusts(1599,1190).
trusts(334,49).
trusts(1149,486).
trusts(1628,107).
trusts(330,372).
trusts(1992,584).
trusts(773,1209).
trusts(321,716).
trusts(1986,809).
trusts(339,36).
trusts(1156,182).
trusts(1160,30).
trusts(1993,577).
trusts(1983,927).
trusts(1151,355).
trusts(1134,985).
trusts(336,85).
trusts(773,1262).
trusts(337,51).
trusts(1962,1634).
trusts(1634,8).
trusts(337,33).
trusts(329,330).
trusts(1115,1595).
trusts(331,302).
trusts(332,272).
trusts(773,1302).
trusts(1635,2).
trusts(807,49).
trusts(773,1307).
trusts(773,1304).
trusts(773,1305).
trusts(333,212).
trusts(773,1276).
trusts(1631,127).
trusts(755,1946).
trusts(1634,20).
trusts(337,72).
trusts(336,116).
trusts(765,1585).
trusts(1603,1199).
trusts(1126,1634).
trusts(797,173).
trusts(1635,7).
trusts(1634,72).
trusts(328,71).
trusts(781,782).
trusts(328,72).
trusts(325,181).
trusts(1135,1310).
trusts(325,176).
trusts(796,221).
trusts(322,284).
trusts(1166,190).
trusts(295,1298).
trusts(771,1186).
trusts(1156,573).
trusts(782,781).
trusts(1165,239).
trusts(1137,1268).
trusts(803,14).
trusts(322,212).
trusts(1141,1029).
trusts(1634,129).
trusts(301,1000).
trusts(290,1407).
trusts(792,453).
trusts(325,134).
trusts(320,321).
trusts(779,927).
trusts(325,127).
trusts(1154,582).
trusts(804,27).
trusts(332,30).
trusts(1635,134).
trusts(327,212).
trusts(1126,1495).
trusts(792,222).
trusts(325,284).
trusts(798,14).
trusts(797,51).
trusts(755,1601).
trusts(755,1599).
trusts(317,588).
trusts(317,589).
trusts(1160,265).
trusts(1963,1915).
trusts(755,1617).
trusts(330,132).
trusts(325,328).
trusts(318,587).
trusts(1135,1205).
trusts(1167,20).
trusts(330,141).
trusts(1160,291).
trusts(1617,863).
trusts(328,235).
trusts(325,346).
trusts(330,36).
trusts(1640,18).
trusts(1630,388).
trusts(1135,1106).
trusts(791,336).
trusts(1997,574).
trusts(316,575).
trusts(1962,1878).
trusts(1641,1).
trusts(1135,1126).
trusts(1146,721).
trusts(1599,1564).
trusts(1154,428).
trusts(292,1476).
trusts(1162,135).
trusts(1165,30).
trusts(316,594).
trusts(327,196).
trusts(327,198).
trusts(280,1939).
trusts(1628,520).
trusts(1939,1940).
trusts(1947,1634).
trusts(341,381).
trusts(1939,1915).
trusts(815,290).
trusts(346,172).
trusts(346,173).
trusts(347,129).
trusts(815,287).
trusts(804,696).
trusts(819,127).
trusts(350,7).
trusts(1939,1889).
trusts(336,530).
trusts(1163,522).
trusts(807,576).
trusts(336,532).
trusts(1987,110).
trusts(1939,1878).
trusts(1135,1539).
trusts(1135,1538).
trusts(1135,1540).
trusts(822,127).
trusts(810,570).
trusts(332,655).
trusts(822,117).
trusts(1945,1634).
trusts(1624,779).
trusts(814,405).
trusts(347,85).
trusts(347,84).
trusts(811,512).
trusts(1939,1839).
trusts(1140,1323).
trusts(301,1773).
trusts(809,575).
trusts(819,199).
trusts(1634,380).
trusts(1172,125).
trusts(336,468).
trusts(344,171).
trusts(802,820).
trusts(1151,894).
trusts(346,325).
trusts(1986,321).
trusts(342,480).
trusts(352,109).
trusts(815,173).
trusts(346,313).
trusts(1172,87).
trusts(819,30).
trusts(1135,1463).
trusts(347,254).
trusts(1136,1403).
trusts(792,1009).
trusts(819,14).
trusts(336,669).
trusts(819,18).
trusts(347,267).
trusts(1172,78).
trusts(1167,237).
trusts(1170,127).
trusts(1135,1422).
trusts(1173,2).
trusts(792,1106).
trusts(794,1028).
trusts(343,385).
trusts(1648,36).
trusts(345,309).
trusts(1983,372).
trusts(815,238).
trusts(331,803).
trusts(1983,350).
trusts(786,1310).
trusts(347,206).
trusts(1977,577).
trusts(786,1316).
trusts(350,83).
trusts(351,49).
trusts(818,109).
trusts(332,758).
trusts(1169,127).
trusts(1990,86).
trusts(332,754).
trusts(337,570).
trusts(1991,20).
trusts(811,350).
trusts(805,587).
trusts(346,226).
trusts(1141,1143).
trusts(1630,750).
trusts(1995,98).
trusts(337,284).
trusts(815,72).
trusts(809,283).
trusts(336,272).
trusts(327,594).
trusts(336,287).
trusts(1622,1024).
trusts(1634,582).
trusts(337,249).
trusts(1632,657).
trusts(1966,1161).
trusts(815,29).
trusts(810,212).
trusts(339,173).
trusts(809,252).
trusts(1160,853).
trusts(339,125).
trusts(792,957).
trusts(331,415).
trusts(1974,811).
trusts(1636,577).
trusts(1981,579).
trusts(792,981).
trusts(1981,576).
trusts(806,465).
trusts(327,582).
trusts(327,584).
trusts(792,979).
trusts(326,582).
trusts(310,1172).
trusts(815,85).
trusts(1635,592).
trusts(326,574).
trusts(336,203).
trusts(1134,1776).
trusts(815,75).
trusts(1155,1023).
trusts(326,593).
trusts(1165,651).
trusts(1179,127).
trusts(330,435).
trusts(814,127).
trusts(1175,238).
trusts(807,226).
trusts(1153,1062).
trusts(1141,1506).
trusts(337,404).
trusts(1154,1024).
trusts(334,522).
trusts(1175,254).
trusts(810,129).
trusts(339,280).
trusts(804,290).
trusts(346,20).
trusts(345,57).
trusts(1172,310).
trusts(810,71).
trusts(334,468).
trusts(1175,206).
trusts(1997,85).
trusts(341,173).
trusts(1996,135).
trusts(1175,173).
trusts(1175,172).
trusts(1655,24).
trusts(812,118).
trusts(811,153).
trusts(1635,716).
trusts(810,134).
trusts(301,1634).
trusts(1983,579).
trusts(1983,582).
trusts(339,235).
trusts(804,370).
trusts(344,59).
trusts(1974,930).
trusts(1974,932).
trusts(1974,931).
trusts(803,415).
trusts(1655,236).
trusts(278,1199).
trusts(307,132).
trusts(1226,554).
trusts(20,575).
trusts(15,761).
trusts(716,307).
trusts(33,98).
trusts(20,579).
trusts(307,144).
trusts(703,791).
trusts(308,98).
trusts(29,254).
trusts(710,544).
trusts(20,594).
trusts(716,321).
trusts(678,1734).
trusts(307,164).
trusts(1939,1471).
trusts(1237,173).
trusts(707,649).
trusts(1978,20).
trusts(304,265).
trusts(720,169).
trusts(1237,200).
trusts(1935,1634).
trusts(304,291).
trusts(29,280).
trusts(1237,203).
trusts(29,284).
trusts(308,129).
trusts(298,499).
trusts(29,170).
trusts(8,947).
trusts(310,79).
trusts(1655,170).
trusts(678,1634).
trusts(18,585).
trusts(688,1255).
trusts(33,38).
trusts(24,366).
trusts(722,20).
trusts(307,206).
trusts(302,388).
trusts(310,87).
trusts(1208,1323).
trusts(263,1855).
trusts(1965,577).
trusts(722,36).
trusts(307,222).
trusts(32,86).
trusts(297,587).
trusts(678,1655).
trusts(18,624).
trusts(1209,1302).
trusts(706,645).
trusts(1212,1186).
trusts(1981,2).
trusts(29,212).
trusts(33,78).
trusts(1243,33).
trusts(302,415).
trusts(7,927).
trusts(678,1820).
trusts(1237,272).
trusts(678,1822).
trusts(688,1453).
trusts(1974,20).
trusts(678,1829).
trusts(678,1830).
trusts(678,1831).
trusts(678,1834).
trusts(29,127).
trusts(678,1833).
trusts(302,194).
trusts(287,750).
trusts(278,1083).
trusts(678,1835).
trusts(7,932).
trusts(678,1842).
trusts(678,1844).
trusts(297,388).
trusts(725,107).
trusts(688,1476).
trusts(307,20).
trusts(678,1847).
trusts(1975,8).
trusts(25,294).
trusts(307,33).
trusts(29,132).
trusts(1242,127).
trusts(307,36).
trusts(300,295).
trusts(720,316).
trusts(1960,574).
trusts(1243,101).
trusts(1954,807).
trusts(307,48).
trusts(27,226).
trusts(724,173).
trusts(297,428).
trusts(4,970).
trusts(714,419).
trusts(1960,594).
trusts(723,98).
trusts(264,1658).
trusts(29,40).
trusts(307,69).
trusts(1223,863).
trusts(723,107).
trusts(20,398).
trusts(1214,1199).
trusts(307,83).
trusts(29,58).
trusts(8,835).
trusts(688,1407).
trusts(307,93).
trusts(678,1783).
trusts(273,1345).
trusts(302,284).
trusts(28,108).
trusts(24,284).
trusts(678,1800).
trusts(727,1).
trusts(23,313).
trusts(1939,1426).
trusts(29,86).
trusts(24,271).
trusts(302,297).
trusts(292,667).
trusts(680,1735).
trusts(300,370).
trusts(1664,173).
trusts(716,49).
trusts(1221,1015).
trusts(1248,17).
trusts(1665,143).
trusts(22,256).
trusts(1960,927).
trusts(20,307).
trusts(18,381).
trusts(706,405).
trusts(681,1330).
trusts(678,1439).
trusts(1655,494).
trusts(1208,1482).
trusts(301,98).
trusts(299,173).
trusts(301,85).
trusts(1665,117).
trusts(21,280).
trusts(1986,8).
trusts(716,83).
trusts(283,809).
trusts(25,170).
trusts(696,824).
trusts(25,172).
trusts(1642,1024).
trusts(1986,2).
trusts(292,465).
trusts(1237,444).
trusts(4,957).
trusts(303,62).
trusts(300,173).
trusts(1939,1735).
trusts(278,990).
trusts(24,189).
trusts(1939,1733).
trusts(1665,155).
trusts(29,7).
trusts(710,291).
trusts(1237,441).
trusts(16,494).
trusts(29,14).
trusts(22,275).
trusts(1241,287).
trusts(20,350).
trusts(1248,27).
trusts(1665,148).
trusts(696,804).
trusts(709,250).
trusts(1665,79).
trusts(699,619).
trusts(686,1096).
trusts(8,716).
trusts(16,419).
trusts(702,502).
trusts(688,1017).
trusts(305,20).
trusts(278,1018).
trusts(278,1017).
trusts(20,266).
trusts(301,164).
trusts(300,197).
trusts(20,246).
trusts(1246,135).
trusts(1651,573).
trusts(1665,49).
trusts(26,28).
trusts(701,516).
trusts(5,848).
trusts(1939,1806).
trusts(698,683).
trusts(1939,1799).
trusts(1243,290).
trusts(1237,507).
trusts(24,130).
trusts(1939,1791).
trusts(20,280).
trusts(1666,49).
trusts(1939,1783).
trusts(1943,1635).
trusts(5,836).
trusts(22,209).
trusts(20,283).
trusts(22,210).
trusts(1237,492).
trusts(25,18).
trusts(716,172).
trusts(299,49).
trusts(716,170).
trusts(710,392).
trusts(21,170).
trusts(15,392).
trusts(275,938).
trusts(1665,7).
trusts(1656,341).
trusts(20,196).
trusts(1665,9).
trusts(14,415).
trusts(1665,12).
trusts(284,615).
trusts(297,135).
trusts(1665,14).
trusts(22,113).
trusts(720,8).
trusts(25,7).
trusts(294,219).
trusts(292,293).
trusts(300,8).
trusts(292,302).
trusts(290,375).
trusts(1207,1688).
trusts(1248,170).
trusts(1665,42).
trusts(688,1246).
trusts(278,863).
trusts(719,98).
trusts(22,153).
trusts(24,84).
trusts(21,180).
trusts(295,210).
trusts(20,210).
trusts(20,209).
trusts(20,212).
trusts(25,28).
trusts(1982,49).
trusts(267,1298).
trusts(717,72).
trusts(716,109).
trusts(710,330).
trusts(688,1143).
trusts(1221,1199).
trusts(8,582).
trusts(1227,976).
trusts(1221,1198).
trusts(22,61).
trusts(21,98).
trusts(20,134).
trusts(8,576).
trusts(1622,1538).
trusts(706,463).
trusts(5,678).
trusts(21,83).
trusts(295,254).
trusts(1939,1634).
trusts(1939,1636).
trusts(20,173).
trusts(300,109).
trusts(1940,1634).
trusts(20,169).
trusts(20,170).
trusts(20,172).
trusts(295,300).
trusts(22,90).
trusts(1983,29).
trusts(300,93).
trusts(20,153).
trusts(24,2).
trusts(1248,226).
trusts(296,247).
trusts(48,69).
trusts(40,365).
trusts(719,723).
trusts(32,662).
trusts(48,83).
trusts(1665,404).
trusts(735,127).
trusts(39,415).
trusts(314,405).
trusts(1943,807).
trusts(48,80).
trusts(736,86).
trusts(321,172).
trusts(48,87).
trusts(48,93).
trusts(278,1716).
trusts(1939,927).
trusts(1939,932).
trusts(18,1147).
trusts(47,75).
trusts(40,334).
trusts(1939,930).
trusts(314,375).
trusts(1942,810).
trusts(1237,655).
trusts(1252,127).
trusts(316,326).
trusts(314,401).
trusts(319,212).
trusts(29,769).
trusts(42,284).
trusts(314,388).
trusts(1675,15).
trusts(1237,758).
trusts(736,36).
trusts(39,345).
trusts(1958,321).
trusts(313,506).
trusts(30,682).
trusts(707,1096).
trusts(46,87).
trusts(721,577).
trusts(15,1240).
trusts(1252,198).
trusts(313,510).
trusts(48,20).
trusts(1671,119).
trusts(707,1100).
trusts(707,1099).
trusts(736,25).
trusts(707,1098).
trusts(1237,774).
trusts(736,51).
trusts(1248,370).
trusts(1665,366).
trusts(327,14).
trusts(324,125).
trusts(1959,297).
trusts(48,33).
trusts(301,927).
trusts(736,2).
trusts(1655,689).
trusts(1915,1878).
trusts(1960,212).
trusts(1665,307).
trusts(293,1215).
trusts(38,362).
trusts(1224,1225).
trusts(732,153).
trusts(311,563).
trusts(1950,594).
trusts(48,2).
trusts(325,48).
trusts(726,585).
trusts(1942,720).
trusts(1665,286).
trusts(740,75).
trusts(1956,212).
trusts(1256,127).
trusts(723,719).
trusts(731,370).
trusts(290,1136).
trusts(1665,246).
trusts(1941,716).
trusts(267,1988).
trusts(1665,243).
trusts(1225,1224).
trusts(1941,720).
trusts(1665,240).
trusts(736,194).
trusts(1665,253).
trusts(38,280).
trusts(39,242).
trusts(38,307).
trusts(1960,29).
trusts(1939,807).
trusts(321,7).
trusts(46,8).
trusts(39,267).
trusts(29,632).
trusts(314,271).
trusts(739,101).
trusts(321,8).
trusts(38,297).
trusts(732,355).
trusts(318,122).
trusts(20,927).
trusts(1237,884).
trusts(708,1196).
trusts(291,1199).
trusts(1260,36).
trusts(38,252).
trusts(43,66).
trusts(1248,485).
trusts(1948,575).
trusts(39,240).
trusts(736,172).
trusts(736,170).
trusts(302,803).
trusts(733,290).
trusts(34,415).
trusts(1665,238).
trusts(1665,178).
trusts(292,1126).
trusts(40,153).
trusts(1665,182).
trusts(42,68).
trusts(307,575).
trusts(39,181).
trusts(1237,852).
trusts(736,127).
trusts(39,180).
trusts(728,425).
trusts(29,575).
trusts(1955,280).
trusts(39,206).
trusts(29,576).
trusts(29,577).
trusts(1237,865).
trusts(1941,811).
trusts(1956,254).
trusts(314,334).
trusts(292,1148).
trusts(1237,873).
trusts(1912,1878).
trusts(40,132).
trusts(39,169).
trusts(316,98).
trusts(726,226).
trusts(39,177).
trusts(1670,492).
trusts(1259,144).
trusts(726,216).
trusts(1928,1634).
trusts(309,345).
trusts(1258,173).
trusts(1636,1735).
trusts(1956,577).
trusts(716,575).
trusts(29,525).
trusts(40,120).
trusts(38,172).
trusts(267,1882).
trusts(38,169).
trusts(1920,1907).
trusts(267,1878).
trusts(39,144).
trusts(1237,929).
trusts(1969,83).
trusts(39,143).
trusts(313,173).
trusts(267,1873).
trusts(16,970).
trusts(314,125).
trusts(1939,1175).
trusts(39,127).
trusts(39,124).
trusts(698,1196).
trusts(307,494).
trusts(38,144).
trusts(316,153).
trusts(310,378).
trusts(40,49).
trusts(39,86).
trusts(1665,606).
trusts(41,17).
trusts(38,128).
trusts(292,1029).
trusts(716,497).
trusts(40,29).
trusts(31,362).
trusts(707,834).
trusts(726,132).
trusts(39,79).
trusts(727,86).
trusts(37,127).
trusts(318,42).
trusts(1237,982).
trusts(40,20).
trusts(727,80).
trusts(314,181).
trusts(38,98).
trusts(1636,1636).
trusts(313,222).
trusts(1665,565).
trusts(29,433).
trusts(1260,127).
trusts(39,46).
trusts(38,83).
trusts(280,1298).
trusts(267,1774).
trusts(38,80).
trusts(39,38).
trusts(1237,1097).
trusts(732,129).
trusts(715,761).
trusts(1254,463).
trusts(33,254).
trusts(727,297).
trusts(726,334).
trusts(1665,530).
trusts(39,22).
trusts(39,21).
trusts(39,20).
trusts(33,242).
trusts(719,575).
trusts(39,8).
trusts(309,203).
trusts(1646,1229).
trusts(39,7).
trusts(719,582).
trusts(15,891).
trusts(716,689).
trusts(1665,501).
trusts(313,29).
trusts(267,1731).
trusts(18,774).
trusts(1678,15).
trusts(32,254).
trusts(1952,577).
trusts(20,689).
trusts(307,254).
trusts(267,1842).
trusts(1634,1634).
trusts(310,252).
trusts(310,253).
trusts(300,624).
trusts(307,366).
trusts(38,8).
trusts(1237,1157).
trusts(1265,120).
trusts(274,1590).
trusts(1965,206).
trusts(1267,22).
trusts(314,86).
trusts(1917,1960).
trusts(33,186).
trusts(727,230).
trusts(30,292).
trusts(688,1682).
trusts(32,205).
trusts(267,1807).
trusts(1672,194).
trusts(732,36).
trusts(316,7).
trusts(313,118).
trusts(30,278).
trusts(316,8).
trusts(1264,132).
trusts(727,222).
trusts(314,80).
trusts(1248,695).
trusts(705,1015).
trusts(313,93).
trusts(292,870).
trusts(22,557).
trusts(29,297).
trusts(284,14).
trusts(1,191).
trusts(1210,181).
trusts(1196,698).
trusts(1643,1644).
trusts(280,169).
trusts(280,170).
trusts(1635,1939).
trusts(3,102).
trusts(1204,411).
trusts(284,20).
trusts(1186,1090).
trusts(736,522).
trusts(2,170).
trusts(1214,51).
trusts(1208,272).
trusts(1635,1943).
trusts(1208,270).
trusts(1939,497).
trusts(4,86).
trusts(1208,284).
trusts(739,415).
trusts(284,36).
trusts(733,639).
trusts(1,222).
trusts(284,51).
trusts(280,197).
trusts(275,382).
trusts(1681,272).
trusts(4,122).
trusts(1685,127).
trusts(1654,1274).
trusts(280,206).
trusts(1909,1634).
trusts(7,8).
trusts(1951,85).
trusts(267,699).
trusts(1635,1983).
trusts(7,2).
trusts(4,138).
trusts(267,577).
trusts(267,579).
trusts(1208,194).
trusts(7,33).
trusts(1948,85).
trusts(7,20).
trusts(736,577).
trusts(1950,8).
trusts(7,25).
trusts(3,173).
trusts(280,109).
trusts(1669,754).
trusts(7,49).
trusts(721,1146).
trusts(278,194).
trusts(1208,222).
trusts(280,125).
trusts(283,20).
trusts(1929,811).
trusts(736,606).
trusts(8,17).
trusts(242,1543).
trusts(1950,42).
trusts(1655,1297).
trusts(272,434).
trusts(8,38).
trusts(1,297).
trusts(1932,719).
trusts(3,222).
trusts(1655,1300).
trusts(275,326).
trusts(7,79).
trusts(749,136).
trusts(2,254).
trusts(237,1741).
trusts(4,181).
trusts(280,38).
trusts(1218,20).
trusts(1,60).
trusts(748,190).
trusts(735,673).
trusts(280,29).
trusts(269,439).
trusts(1684,15).
trusts(278,132).
trusts(1933,594).
trusts(1216,107).
trusts(1171,1767).
trusts(727,981).
trusts(279,85).
trusts(727,1009).
trusts(2,48).
trusts(1650,1289).
trusts(279,109).
trusts(1634,1878).
trusts(753,36).
trusts(278,136).
trusts(1939,398).
trusts(1,101).
trusts(267,569).
trusts(1172,1772).
trusts(1,109).
trusts(2,69).
trusts(275,264).
trusts(1936,506).
trusts(280,78).
trusts(4,1).
trusts(1,118).
trusts(750,190).
trusts(2,83).
trusts(1204,468).
trusts(1186,1132).
trusts(1943,134).
trusts(4,14).
trusts(735,734).
trusts(1939,280).
trusts(1634,1905).
trusts(1,127).
trusts(251,1044).
trusts(1903,1634).
trusts(1939,302).
trusts(1208,336).
trusts(277,93).
trusts(1634,1915).
trusts(750,194).
trusts(710,1674).
trusts(748,272).
trusts(736,716).
trusts(275,172).
trusts(267,489).
trusts(753,107).
trusts(280,7).
trusts(273,266).
trusts(755,30).
trusts(755,36).
trusts(1939,321).
trusts(1214,127).
trusts(278,72).
trusts(1939,316).
trusts(1635,1899).
trusts(1899,1820).
trusts(280,21).
trusts(2,127).
trusts(1634,1962).
trusts(1659,1024).
trusts(273,272).
trusts(1217,34).
trusts(751,186).
trusts(1939,326).
trusts(251,1092).
trusts(1939,327).
trusts(280,20).
trusts(1186,1185).
trusts(1915,1634).
trusts(243,1300).
trusts(1186,1354).
trusts(243,1297).
trusts(1186,1337).
trusts(1674,750).
trusts(1221,83).
trusts(266,468).
trusts(1939,779).
trusts(263,590).
trusts(741,122).
trusts(739,172).
trusts(1209,507).
trusts(275,120).
trusts(263,575).
trusts(263,577).
trusts(1215,293).
trusts(267,424).
trusts(1,14).
trusts(267,347).
trusts(272,135).
trusts(275,22).
trusts(1215,199).
trusts(1218,87).
trusts(251,959).
trusts(1939,716).
trusts(1956,86).
trusts(1957,49).
trusts(1198,863).
trusts(269,295).
trusts(1198,853).
trusts(1957,29).
trusts(1209,444).
trusts(251,950).
trusts(269,210).
trusts(1203,853).
trusts(1221,178).
trusts(1221,173).
trusts(744,96).
trusts(1208,653).
trusts(264,384).
trusts(233,1531).
trusts(1905,1878).
trusts(267,263).
trusts(224,1854).
trusts(258,648).
trusts(267,313).
trusts(1956,20).
trusts(1214,467).
trusts(1941,576).
trusts(1663,1063).
trusts(1223,127).
trusts(739,302).
trusts(233,1548).
trusts(1905,1820).
trusts(269,143).
trusts(264,326).
trusts(1221,109).
trusts(267,206).
trusts(251,799).
trusts(727,792).
trusts(739,334).
trusts(1208,587).
trusts(233,1460).
trusts(1953,18).
trusts(268,209).
trusts(1939,594).
trusts(744,199).
trusts(1939,592).
trusts(1939,591).
trusts(238,1313).
trusts(267,243).
trusts(1939,576).
trusts(268,197).
trusts(1939,575).
trusts(272,51).
trusts(1674,710).
trusts(15,212).
trusts(283,593).
trusts(1700,69).
trusts(761,127).
trusts(1923,582).
trusts(20,29).
trusts(746,686).
trusts(1939,2).
trusts(299,9).
trusts(15,203).
trusts(1209,773).
trusts(297,86).
trusts(1700,84).
trusts(742,839).
trusts(8,492).
trusts(1939,7).
trusts(18,121).
trusts(1939,8).
trusts(20,36).
trusts(762,109).
trusts(20,33).
trusts(1939,20).
trusts(21,2).
trusts(1223,272).
trusts(263,1298).
trusts(284,522).
trusts(16,143).
trusts(1,698).
trusts(1700,33).
trusts(10,366).
trusts(1922,592).
trusts(746,649).
trusts(7,468).
trusts(719,1658).
trusts(20,2).
trusts(1227,93).
trusts(20,8).
trusts(1900,1426).
trusts(20,7).
trusts(743,785).
trusts(7,575).
trusts(1220,290).
trusts(727,1445).
trusts(1225,107).
trusts(16,238).
trusts(294,120).
trusts(766,14).
trusts(20,85).
trusts(20,86).
trusts(258,1464).
trusts(20,83).
trusts(748,676).
trusts(287,388).
trusts(7,593).
trusts(13,370).
trusts(20,109).
trusts(290,287).
trusts(292,212).
trusts(20,107).
trusts(21,66).
trusts(7,584).
trusts(1699,194).
trusts(22,26).
trusts(7,579).
trusts(1891,1733).
trusts(762,119).
trusts(20,58).
trusts(746,707).
trusts(20,49).
trusts(2,716).
trusts(727,1418).
trusts(727,1420).
trusts(294,98).
trusts(284,468).
trusts(1924,468).
trusts(14,302).
trusts(295,69).
trusts(21,38).
trusts(1700,127).
trusts(752,514).
trusts(1700,126).
trusts(1915,811).
trusts(1915,810).
trusts(1190,1599).
trusts(7,372).
